czas;pamiec
74;409600
71;409600
65;409600
65;409600
65;409600
65;409600
66;409600
64;409600
64;409600
64;409600
69;409600
65;409600
64;409600
65;409600
69;409600
70;409600
66;409600
65;409600
64;409600
65;409600
65;409600
65;409600
70;409600
64;409600
64;409600
65;409600
64;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
64;409600
65;409600
65;409600
65;409600
65;409600
65;409600
64;409600
64;409600
65;409600
65;409600
65;409600
64;409600
8;409600
64;409600
65;409600
65;409600
68;409600
67;409600
65;409600
64;409600
65;409600
65;409600
64;409600
66;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
70;409600
64;409600
65;409600
65;409600
64;409600
64;409600
65;409600
65;409600
64;409600
64;409600
65;409600
65;409600
64;409600
66;409600
65;409600
65;409600
65;409600
65;409600
65;409600
72;409600
65;409600
65;409600
65;409600
64;409600
65;409600
65;409600
65;409600
65;409600
61;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
65;409600
66;409600
64;409600
75;409600
65;409600
65;409600
75;409600
65;409600
70;409600
64;409600
65;409600
65;409600
62;409600
62;409600
75;409600
376;409600
634;409600
63;409600
65;409600
63;409600
64;409600
63;409600
63;409600
63;409600
62;409600
63;409600
63;409600
63;409600
63;409600
63;409600
62;409600
63;409600
62;409600
63;409600
63;409600
62;409600
63;409600
62;409600
63;409600
63;409600
66;409600
63;409600
63;409600
63;409600
63;409600
63;409600
64;409600
63;409600
63;409600
63;409600
63;409600
62;409600
63;409600
63;409600
63;409600
63;409600
63;409600
62;409600
62;409600
62;409600
63;409600
63;409600
62;409600
63;409600
63;409600
63;409600
62;409600
63;409600
63;409600
63;409600
63;409600
63;409600
63;409600
66;409600
63;409600
63;409600
63;409600
63;409600
62;409600
63;409600
63;409600
62;409600
63;409600
62;409600
62;409600
63;409600
63;409600
63;409600
63;409600
63;409600
62;409600
63;409600
63;409600
63;409600
62;409600
64;409600
63;409600
63;409600
62;409600
62;409600
63;409600
63;409600
63;409600
62;409600
63;409600
62;409600
63;409600
63;409600
63;409600
63;409600
64;409600
62;409600
63;409600
63;409600
65;409600
64;409600
63;409600
63;409600
62;409600
63;409600
63;409600
63;409600
63;409600
63;409600
63;409600
63;409600
63;409600
63;409600
16874;5242880
1;409600
1;409600
17516;5242880
13;5242880
171082;5242880
11;5242880
5;5242880
4;5242880
2;52428800
1;41943040
1;40960000
1;409600
2;409600
1;409600
428;93323264
27434;5242880
118206;16777216
37702;16777216
31639;16777216
35433;16777216
33561;16777216
29018;16777216
39005;16777216
27387;16777216
42385;16777216
73695;16777216
29494;16777216
70173;16777216
44423;16777216
35594;16777216
44338;16777216
41628;16777216
47814;16777216
29818;16777216
33631;16777216
48151;16777216
44969;16777216
47742;16777216
53269;16777216
35611;16777216
29188;16777216
61187;16777216
48843;16777216
39245;16777216
49251;16777216
51280;16777216
36860;16777216
43626;16777216
31610;16777216
62461;16777216
40019;16777216
33909;16777216
39974;16777216
26426;16777216
52920;12582912
36377;12582912
47803;12582912
53198;12582912
42380;12582912
149114;12582912
86756;12582912
82751;12582912
42383;12582912
59029;12582912
62112;12582912
35682;12582912
52387;12582912
64869;12582912
48837;12582912
89378;12582912
149474;12582912
48869;12582912
47198;12582912
100088;12582912
71275;12582912
50413;12582912
45731;12582912
42582;12582912
46882;12582912
147550;12582912
55935;12582912
144450;12582912
147769;12582912
39812;12582912
137929;12582912
50069;12582912
38092;12582912
57266;12582912
64351;12582912
46140;12582912
43630;12582912
80154;12582912
57294;12582912
88577;12582912
58545;12582912
84182;12582912
39393;12582912
142591;12582912
101200;12582912
38819;12582912
126514;12582912
59648;12582912
79077;12582912
85591;12582912
60973;12582912
114976;12582912
49296;12582912
69235;12582912
45283;12582912
75331;12582912
25917;12582912
34525;12582912
50846;12582912
113659;12582912
42250;12582912
51538;12582912
32535;12582912
103873;12582912
54386;12582912
58791;12582912
35055;12582912
108772;12582912
58458;12582912
55578;12582912
59888;12582912
43324;12582912
34319;12582912
116436;12582912
139113;12582912
136303;12582912
33035;12582912
118652;12582912
50365;12582912
59274;12582912
26530;12582912
65218;12582912
31117;12582912
23445;12582912
39209;12582912
50128;12582912
44256;12582912
33069;12582912
66571;12582912
120322;12582912
54268;12582912
80568;12582912
56761;12582912
123116;12582912
53141;12582912
37640;12582912
55103;12582912
97738;12582912
129286;12582912
35234;12582912
29311;12582912
14177;12582912
49317;12582912
47356;12582912
59298;12582912
43502;12582912
42909;12582912
43923;12582912
53907;12582912
71511;12582912
40163;12582912
34162;12582912
111500;12582912
59943;12582912
39452;12582912
123403;12582912
33970;12582912
36417;12582912
124953;12582912
101362;12582912
72966;12582912
132168;12582912
21301;12582912
141184;12582912
32119;12582912
123251;12582912
44598;12582912
124046;12582912
33685;12582912
154806;12582912
33636;12582912
27416;12582912
54015;12582912
51770;12582912
35671;12582912
44773;12582912
57454;12582912
51330;12582912
28647;12582912
128093;12582912
41505;12582912
39830;12582912
78459;12582912
45234;12582912
3;52428800
3;41943040
2;41943040
22;41943040
3;1048576
10;1048576
3;5242880
527;41943040
244629;83886080
1;1048576
1;1048576
1;1048576
1;1048576
197;1048576
1;409600
